id,name,title,company,seniority_tier,industry_vertical,icp_score,source,linkedin_url,email,company_size,funding_stage,persona_summary,context_hook,personalization_themes,confidence_flag,assigned_to,outreach_status,in_sequence
119,"Takashi SuzukiChief director general, JETRO",Takashi Suzuki,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
120,"Shri Amitabh KantG20 Sherpa, Government of India",Shri Amitabh Kant,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
121,"Vishal DhuparManaging Director, Asia South, NVIDIA",Vishal Dhupar,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
122,"Ananth NarayananFounder & CEO, Mensa Brands",Ananth Narayanan,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
123,"Shri Piyush GoyalUnion Minister of Commerce & Industry and MP, North Mumbai Lok Sabha, Government of India",Shri Piyush Goyal,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
124,"Anil AgrawalMember, Competition Commission of India",Anil Agrawal,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
125,"Shashank KumarManaging Director and Co-founder, Razorpay",Shashank Kumar,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
126,"Kavin KKManaging Partner Startup Banking, IDFC FIRST Bank",Kavin KK,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
127,"Kunal BahlCo-founder, Snapdeal & Titan Capital",Kunal Bahl,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
128,"Krishnendu MajumdarCPTO, Yubi",Krishnendu Majumdar,,C-Suite,Other,3,scraped_techsparks2024,,,,,,,,,,pending,FALSE
129,"Madhusudhan RaoCTO, Swiggy",Madhusudhan Rao,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
130,"Ajit NarayananCTPO, Licious",Ajit Narayanan,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
131,"Amrit AcharyaCo-founder & CEO, Zetwerk",Amrit Acharya,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
132,"Srinath RamakkrushnanCo-founder & COO, Zetwerk",Srinath Ramakkrushnan,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
133,"Ashutosh SharmaHead of Growth Investments, India & Asia, Prosus Ventures",Ashutosh Sharma,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
134,"Mukul AroraCo-Managing Partner, Elevation Capital",Mukul Arora,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
135,"Bhavish AggarwalFounder, Ola",Bhavish Aggarwal,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
136,"Prashant SachanFounder & CEO, AppsForBharat",Prashant Sachan,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
137,"Amit RamaniFounder & CEO, Awfis Space Solutions",Amit Ramani,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
138,"Aditya RuiaCo-founder, BECO",Aditya Ruia,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
139,"Vikas D NaharFounder & CEO, Hapilo",Vikas D Nahar,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
140,"Kiyoko HASHIBADirector for Global Promotion, Strategy Promotion Division Office for Startup and Global Financial City Strategy, Tokyo Metropolitan Government",Kiyoko HASHIBA,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
141,"Srinivas Rao MahankaliCEO, T–Hub",Srinivas Rao Mahankali,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
142,"Rahul ChandraManaging Director, Arkam Ventures",Rahul Chandra,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
143,"Sameer NigamFounder & CEO, PhonePe",Sameer Nigam,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
144,"Harshil MathurCo-founder & CEO, Razorpay",Harshil Mathur,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
145,"Mohit KhuranaCo-founder & CEO, Uni Seoul",Mohit Khurana,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
146,"DVS Shiv KumarSolutions Architect, OVHcloud",DVS Shiv Kumar,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
147,"Satyam SantoshStartup Program Lead – APAC, OVHcloud",Satyam Santosh,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
148,"Suvonil	ChatterjeeCTPO, Ola Electric",Suvonil	Chatterjee,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
149,"Hardika	ShahFounder & CEO, Kinara Capital",Hardika	Shah,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
150,Adventure Partner,,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
151,Loyalty Partner,,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
152,Sustainability Partner,,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
153,Skill Assessment Partner,,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
154,Arjun Mehta,Founder & CEO,FinStack Labs,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
155,Priya Krishnamurthy,Co-founder & COO,LendGrid,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
156,Saurabh Bhatia,Chief Product Officer,InsuranceFirst,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
157,Deepika Nair,Founder,WealthBridge,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
158,Karan Malhotra,CEO,PayFlow India,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
